word,reading,example,,,level,meaning
異なる,ことなる,彼と私はいつも意見がことなる。,,,5,"to differ, to vary, to disagree"
異常,いじょう,今年の夏はいじょうな暑さですね。,,,5,"strangeness, abnormality, disorder"
遺伝子,いでんし,「子孫？」  「そう、いでんしを残すんだ」,,,5,gene
遺族,いぞく,どうして 悲しみを黙って耐えているいぞくが大部分なのに 大勢の前であんなことを叫んだりして 不快に思って当然だわ,,,5,"bereaved family, surviving family"
遺言,ゆいごん,これから私とジョジョはシュトロハイムのゆいごんに従い  ある人物に会いにローマに飛ぶ,,,5,"will, testament, last request"
地域,ちいき,彼はちいきの活動に参加した。,,,5,"area, region"
領域,りょういき,ここからは未知のりょういきです。,,,5,"area, domain, territory"
宇宙,うちゅう,うちゅう人は存在すると思いますか。,,,5,"universe, cosmos, space"
気宇,きう,思っているとしたらよほどきうが壮大なのか   精神が蜂蜜漬けのﾁｮｺﾚｰﾄででもできているのか たぶん後者だろうが,,,5,breadth of mind
映える,はえる,黒のドレスに赤いスカーフがはえますね,,,5,"to shine, to glow"
映る,うつる,水面に月がうつっているね。,,,5,"to be reflected, to harmonize with (harmonise), to come out"
映画,えいが,仕事の後、えいがを見た。,,,5,"movie, film"
延期,えんき,会議は明々後日にえんきされた。,,,5,"postponement, deferment, adjournment"
延長,えんちょう,国会の会期がえんちょうされたわね。,,,5,"extension, elongation, prolongation"
沿う,そう,川にそって歩いたんだ。,,,5,"to run along, to run beside"
沿岸,えんがん,今日はえんがんの波が荒いでしょう。,,,5,"coast, shore, littoral"
無我夢中,むがむちゅう,ずうっと向こうから伸びてきているのに  気付かねえとはよほどむがむちゅうだったようだな,,,5,"being absorbed in, losing oneself in"
我,われ,われわれの決意は固いです。,,,5,"I, me  oneself"
我が,わが,わが社の経営はうまくいっています。,,,5,"my, our, one's own"
灰皿,はいざら,はいざらをください。,,,5,ashtray
灰じん,かいじん,一方で同盟の歴史的建造物の多くがかい燼に帰したため  勝ち誇った帝国軍が炎によって旧弊を一掃しようとしたのだと  まことしやかに噂する者もあった,,,5,"ash, embers"
拡大,かくだい,この図をかくだいコピーしてください。,,,5,"magnification, enlargement"
拡散,かくさん,お前のようにかくさんさせてしまってはエネルギーの無駄なのだ,,,5,"scattering, diffusion"
内閣,ないかく,首相はないかくの改造を行いました。,,,5,"cabinet (of a government), ministry"
閣議,かくぎ,そうか メルカッツかっかはかくぎにご出席か,,,5,cabinet meeting
革,かわ,かわのベルトを買いました。,,,5,leather
革命,かくめい,それは歴史上の大きなかくめいです。,,,5,revolution
改革,かいかく,彼は行政をかいかくしたいと思っている。,,,5,"reform, reformation, reorganization"
割れる,われる,コップが落ちてわれた。,,,5,"to break, to be smashed"
役割,やくわり,みんなでやくわりを分担しましょう。,,,5,"part, role, duties"
分割,ぶんかつ,テレビ画面をぶんかつして見ている感じよ。,,,5,"partition, division, separation"
株,かぶ,最近かぶを始めました。,,,5,"stock, share"
筆頭株主,ひっとうかぶぬし,そこのひっとうかぶぬしどこだか知ってる？  水瀬グループだが？,,,5,"biggest shareholder, largest stockholder"
巻く,まく,彼は頭にタオルをまいていた。,,,5,"to wind, to coil, to roll"
圧巻,あっかん,単発じゃ まず無理だろうね  特に ボディーの筋肉なんかあっかんだよ,,,5,"highlight, best part"
席巻,せっけん,今 その変化 ローエングラム公ラインハルトという傑出した人格を借りて  まず銀河帝国をせっけんし 次いで全人類を絡め取ろうとしているんだ,,,5,"sweeping conquest, sweeping over, conquering, invading"
干す,ほす,母は洗濯物をほしています。,,,5,"to air, to dry"
若干,じゃっかん,ゼロが行く事によって 次の人質殺害までに  じゃっかんのゆとりが生まれるはずだなら これは好機だ！,,,5,"some, few, a number of"
看る,みる,自分と同じ病で母親をみ取ったんだからな,,,5,"to look after (often medically), to take care of"
看護,かんご,この病院は24時間かんごです。,,,5,"nursing, (army) nurse"
看板,かんばん,店のかんばんを塗り替えました。,,,5,"signboard, sign, billboard"
簡単,かんたん,この料理はとてもかんたんです。,,,5,"simple, easy, uncomplicated"
簡潔,かんけつ,問１　なぜ俺達をつけた？かんけつに述べよ。,,,5,"concise, brief, succinct, compact (style)"
危ない,あぶない,その道は車が多くてあぶない。,,,5,"dangerous, risky"
危険,きけん,その地域は今、きけんだ。,,,5,"danger, peril"
発揮,はっき,しかしその吸血鬼ゆえの回復力というのはこうして見るかぎり  全くといっていいほどはっきされていないようでした,,,5,"show (of power, ability, etc.), exhibition, demonstration"
指揮,しき,彼はオーケストラをしきしているの。,,,5,"command, direction"
机,つくえ,新しいつくえを買ってもらいました。,,,5,desk
机上,きじょう,形而上学的なきじょうの空論だな,,,5,"on the desk theoretical, academic"
貴族,きぞく,ここがきぞくの屋敷じゃなかったら  えらい目に遭わせていたところだぞ,,,5,"noble, aristocrat, peer"
貴重品,きちょうひん,ホテルの金庫にきちょうひんを入れたよ。,,,5,"valuable article, valuables"
疑う,うたがう,なぜあなたは私をうたがうのですか。,,,5,"to doubt, to distrust"
疑問,ぎもん,彼の言葉が本当かはぎもんです。,,,5,"doubt, question, suspicion, dubiousness"
吸う,すう,彼は大きく息をすった。,,,5,"to smoke, to breathe in"
呼吸,こきゅう,患者のこきゅうは正常です。,,,5,"breathing, respiration"
吸収,きゅうしゅう,彼は知識のきゅうしゅうが早いですね。,,,5,"absorption, suction, attraction"
供え,そなえ,お墓に花をそなえました,,,5,offering
供給,きょうきゅう,彼の会社は電力をきょうきゅうしています。,,,5,"supply, provision"
子供,こども,彼女は三人のこどもの母親だ。,,,5,child
胸,むね,むねに少し痛みがあります。,,,5,"chest, breast"
胸倉,むなぐら,「厭よ、そんなの。無事に脱出できたら、わたしは分からないことをあなたのむなぐら掴んででも問い質すから」,,,5,"collar, lapels"
度胸,どきょう,お前のその武器とどきょうとアイディアに敬意を表そう,,,5,"courage, bravery, pluck, nerve, grit, guts"
故郷,こきょう,彼女は久しぶりにこきょうに帰りました。,,,5,"home town, birthplace, native place, one's old home"
郷に入っては郷に従え,ごうにいってはごうにしたがえ,護印師として見過ごせないのは分かりますがこれより我々が挑むのは  尋常な手段が通用しない魔境です  ごうにいりてはごうにしたがうしかありますまい,,,5,"when in Rome, do as the Romans do"
勤める,つとめる,私は銀行につとめています。,,,5,"to work (for), to be employed"
通勤,つうきん,私は地下鉄でつうきんしています。,,,5,commuting to work
筋,すじ,転んですじを痛めてしまいました。,,,5,"muscle, tendon"
筋肉,きんにく,運動した翌日は全身のきんにくが痛い。,,,5,muscle
背筋,せすじ,いや 絶対にあなたのせすじに身の毛のよだつような  恐怖のうずきを味わわせることでしょう,,,5,"spine, line of the backbone"
敬う,うやまう,両親をうやまうことは大切です。,,,5,"to show respect for, to revere, to honour"
敬語,けいご,お客様にはけいごを使いなさい。,,,5,"honorific, term of respect, polite expression"
尊敬,そんけい,祖父は家族みんなにそんけいされています。,,,5,"respect, esteem, reverence"
体系,たいけい,勤務のたいけいを見直すことにしました。,,,5,"system, organization"
系統,けいとう,電気けいとうを図面で確かめました。,,,5,"system, lineage, ancestry"
警察,けいさつ,けいさつを呼んでください。,,,5,"police, police officer"
警官,けいかん,けいかんは怪しい男の後を追ったよ。,,,5,"police officer, policeman, constable"
喜劇,きげき,昨夜はテレビできげきを見たよ。,,,5,"comedy, funny show"
演劇,えんげき,彼女はえんげきを学んでいます。,,,5,"drama, theatre, theater, play"
激しい,はげしい,はげしい雨が降っています。,,,5,"violent, furious, tempestuous"
急激,きゅうげき,これから高齢化がきゅうげきに進みます。,,,5,"sudden, abrupt, rapid, sharp, drastic, radical"
穴,あな,靴下にあなが開いている。,,,5,"hole, opening"
墓穴,ぼけつ,宜野座君 ここは口を開くほどぼけつを掘る局面ではないかね？,,,5,grave (pit)
憲法,けんぽう,けんぽうを改正することは難しいわね。,,,5,constitution
憲章,けんしょう,｢以下の布告をもって同盟けんしょうに変える｣  ｢一つ 帝国打倒のための挙国一致体制を確立する｣,,,5,charter
権利,けんり,言論の自由は国民のけんりです。,,,5,"right, privilege"
権力,けんりょく,そのけんりょく者による支配は50年以上続いたんです。,,,5,"(political) power, authority, influence"
絹,きぬ,このシャツはきぬでできています。,,,5,silk
厳か,おごそか,ガルグ=マク大修道院では 再誕の儀がおごそかに執り行われ、   フォドラ全土の熱心なセイロス教徒は、 揃って大修道院に足を運ぶのだ。,,,5,"solemn (ceremony, atmosphere, etc.), austere, grave"
厳しい,きびしい,今年の夏は暑さがきびしい。,,,5,"severe, strict, rigid"
厳重,げんじゅう,上司からげんじゅうに注意されました。,,,5,"strict, severe, stringent"
源,みなもと,力のみなもとは心にある  大宦官に対して決起した人々も私たち黒の騎士団も心の力でたたかってきた,,,5,"source (of a river), fountainhead"
水源,すいげん,充分なすいげんのない我が国で普及すれば  食料事情も安定して 国民は苦しまずに済む,,,5,"source of river, fountainhead"
呼ぶ,よぶ,ウェイターをよびましょう。,,,5,"to call out (to), to call, to invoke"
己,おのれ,エドはおのれの無力さに打ちひしがれるのであった,,,5,"I, me"
