word,reading,example,,,level,meaning
亜熱帯,あねったい,多分、そうどすやろなあ。あねったい地域でよう見る症状どす。 お薬は、それ用に調合してますし、これでちょっと様子見ましょ。,,,Pre-2,subtropics
亜種,あしゅ,これってどう見てもただの金属ですよ  石のあしゅ  もしくは紙ですよ   もちろん栄養なんてありませんしおいしくもありませんし煮ても焼いても食べられませんし着ることも 乗ることも汚れをおとすことも仲良くなることも――――,,,Pre-2,subspecies
大尉,たいい,「……。　余り、たいいの御気性にそぐう提案とも思えませんが」,,,Pre-2,"captain, lieutenant (Navy)"
准尉,じゅんい,「……じゅんい、副首領閣下に対する不敬な物言いは、あまり感心しませんね」,,,Pre-2,warrant officer
逸らす,そらす,皆の注意をそらすため、 厩舎に火をつけて騒ぎを起こす・・,,,Pre-2,"to turn away (one's eyes, face, etc.), to avert, to divert (e.g. one's attention)"
逸れる,それる,確かに、少し関係ない方に話がそれたようだ…,,,Pre-2,"to turn away, to bear off, to veer away, to swerve from"
逸話,いつわ,ナポレオン皇帝のいつわなのじゃが ヤツは１日に たった３時間しか 眠らなかったそうじゃな,,,Pre-2,anecdote
婚姻,こんいん,「こんいんとは神前で誓うべきもの。　方便で詐称するのは気が進まん」,,,Pre-2,"marriage, matrimony"
余韻,よいん,快感のよいんと虚脱感の狭間でユピーは自我の澱ともいえる この利己的な能力をいかに王のために役立てられるか それのみに没頭しようと努めていた,,,Pre-2,"reverberation, swelling (of a hymn), trailing note,  lingering memory"
韻律,いんりつ,だから リアルに驚いちゃうと品がなくなるので 抑えて他人事のように驚くとこういう驚き方になる 驚き方 感動詞のいんりつをどうしますかっていう問題 今お話ししてるんですけども  上品キャラっていうものをどうしても 特別扱いする必要があります  つまり 「品」っていうのは大事だってことです,,,Pre-2,"rhythm, metre (poet)"
渦,うず,各艦内の食堂には陽気な喧騒がうず巻いている。,,,Pre-2,"whirlpool, swirl, eddy, vortex, maelstrom,"
