word,reading,meaning,,source,,related
哀哀父母,あいあいふぼ,自分を生んで苦労を重ねてくれた父母の死を悼み、その恩に報いることができず哀しむこと。 「哀哀たる父母」とも読む。,,『詩経』「小雅・蓼莪」,３,
合縁奇縁,あいえんきえん,人と人の縁は奇妙な巡り合わせということ。 特に男女の関係についていう言葉。 「合縁」は「愛縁」や「相縁」、「奇縁」は「機縁」とも書く。,,,４,
愛屋及烏,あいおくきゅうう,溺愛、盲愛のたとえ。 その人を愛するあまり、その人に関わるもの全て、その人の家の屋根にとまっている烏（からす）さえも愛おしくなるということから。 「屋を愛して烏に及ぶ」とも読む。,,『説苑』「貴徳」,,愛及屋烏（あいきゅうおくう） 屋烏之愛（おくうのあい）
哀毀骨立,あいきこつりつ,哀しみのあまり体を毀し、骨と皮ばかりになるほど痩せること。,,『世説新語』「徳行」,２,毀瘠骨立（きせきこつりつ） 形銷骨立（けいしょうこつりつ） 羸瘠骨立（るいせきこつりつ）
愛及屋烏,あいきゅうおくう,溺愛、盲愛のたとえ。 「屋烏」は屋根にとまっている烏（からす）のこと。  その人を愛するあまり、その人に関わるもの全て、その人の家の屋根に止まっている烏さえも愛おしくなるということから。,,『説苑』「貴徳」,準１,愛屋及烏（あいおくきゅうう） 屋烏之愛（おくうのあい）
哀鴻遍野,あいこうへんや,戦いに敗れた兵士や、さまよう難民がいたる所にいる様子。 哀しげに鳴く雁が、野原にあふれる様子を流浪する兵士や、難民にたとえたもの。,,『詩経』「小雅・鴻雁」,準１,哀鴻遍地（あいこうへんち） 鴻雁哀鳴（こうがんあいめい） 鴻雁干飛（こうがんうひ）
相碁井目,あいごせいもく,実力には人それぞれ差があり、何をするにも差ができることを囲碁の腕前にたとえたもの。,,,準２,
哀糸豪竹,あいしごうちく,悲しい音をだす琴と力強く明るい音をだす笛の見事な管弦は人を感動させること。,,杜甫「酔うて馬より墜つるを為す、諸公酒を携えて相看る」,３,
愛多憎生,あいたぞうせい,愛や恩を多くもらいすぎると、憎しみやねたみを生むということ。 「愛多ければ憎しみ生ず」とも読む。,,『亢倉子』「用道」,３,愛多憎至（あいたぞうし）
異域之鬼,いいきのき（いいきのおに）,祖国に帰れず異国の地で死ぬこと。またはその人の魂。 「異域」は自分の国でない国、外国。 「鬼」は死んだ人の魂のこと。 故郷から離れて、外国に留まり続けている死者の魂という意味から。,異域之鬼（いいきのおに）,『文選』李陵「答蘇武書」,,
以夷征夷,いいせいい,自ら手を下さずに他人を利用して利益を図ること。 「夷」は中国東方の異民族、外敵のことで外敵を利用して外敵を制する外交戦略のこと。 「夷を以って夷を征す」とも読む。 「以夷制夷」とも書く。,以夷制夷（いいせいい）,『清史稿』林則徐,準１,以夷功夷（いいこうい） 以毒制毒（いどくせいどく）
唯唯諾諾,いいだくだく,物事のよしあしにかかわらず、何にでもはいはいと人の言いなりになること。 「唯」と「諾」はどちらも「はい」という意味の返事のこと。,唯々諾々（いいだくだく）,『韓非子』「八姦」,準２,唯唯連声（いいれんせい） 百依百順（ひゃくいひゃくじゅん） 附和随行（ふわずいこう）
有為転変,ういてんぺん（ういてんべん / ういてんでん）,この世の全ての現象や存在は常に移り変わり、一定しているものはないということ。または、この世は儚いものであるということのたとえ。 「有為」は様々な因縁から生じる現象。 「転変」は移り変わること。 仏教の言葉。,有為転変（ういてんべん） 有為転変（ういてんでん）,,４,附和随行（ふわずいこう） 盛者必衰（じょうしゃひっすい） 諸行無常（しょぎょうむじょう）
